Site,Layer,Unit,GridX,GridY,X (nm),Y (nm),EdgeDistance (nm),Area (nm2),MinorLength,MajorLength,Eccentricity ,RMSDeviation,RMSDeviationPercentage,ROI Deviation,StdSlope
1,12,0,25,4,1.96E-06,1.76E-06,0,11771.3322,119.6192824,125.295232,0.297571943,1.241995431,0.991255143,43.87113135,0.353881242
1,12,0,0,5,-1.88E-06,1.65E-06,0,11276.1468,118.3080622,121.3546723,0.222665121,0.577938858,0.476239479,48.76088583,0.283244725
1,12,0,1,5,-1.72E-06,1.65E-06,0,11355.914,115.2418759,125.4647995,0.395375476,0.928752745,0.740249655,48.2206173,0.230774666
1,12,0,2,5,-1.57E-06,1.65E-06,0,11670.8514,119.5061801,124.3432732,0.276204545,0.570739611,0.459003206,48.29105798,0.237750576
1,12,0,3,5,-1.41E-06,1.65E-06,0,11364.6287,117.7886682,122.8462379,0.283980414,0.855852931,0.696686318,48.42976318,0.334529337
1,12,0,4,5,-1.25E-06,1.65E-06,0,11401.1305,120.2699855,120.6981961,0.084160398,0.715337999,0.592666687,47.89265486,0.351165651
1,12,0,5,5,-1.10E-06,1.65E-06,0,11771.9413,118.4579222,126.5301721,0.351459827,0.781639681,0.617749638,47.70389871,0.32306874
1,12,0,6,5,-9.37E-07,1.64E-06,0,11674.1739,119.7874189,124.0866532,0.260947595,0.918455774,0.740172896,47.7106728,0.316793307
1,12,0,7,5,-7.82E-07,1.64E-06,0,11077.3494,116.3591606,121.2119381,0.280121601,1.521838098,1.255518327,47.03642032,0.280451976
1,12,0,8,5,-6.25E-07,1.64E-06,0,11580.9598,119.6492961,123.2379675,0.239565729,0.815689075,0.661881311,46.38553085,0.318686554
1,12,0,9,5,-4.69E-07,1.64E-06,0,11166.1869,117.7220357,120.7694949,0.223227751,0.940464858,0.77872716,45.4773949,0.356893648
1,12,0,10,5,-3.11E-07,1.64E-06,0,11534.5726,119.4880673,122.9099634,0.234320812,0.796383852,0.647940842,43.59980457,0.285478198
1,12,0,11,5,-1.53E-07,1.64E-06,0,11708.0747,120.4657692,123.7462212,0.228727502,0.83742307,0.676726175,42.45347046,0.415135862
1,12,0,12,5,2.72E-09,1.64E-06,0,11948.6542,120.1746139,126.5949487,0.314418618,1.129173505,0.891957789,42.52375597,0.330966582
1,12,0,13,5,1.59E-07,1.64E-06,0,11680.686,119.8127001,124.1296737,0.261431374,0.714771188,0.575826204,42.54350134,0.373181172
1,12,0,14,5,3.16E-07,1.64E-06,0,12118.83,123.6385337,124.8006847,0.136152112,0.577811771,0.462987661,41.95895626,0.448358235
1,12,0,15,5,4.74E-07,1.64E-06,0,11962.1304,121.3077433,125.5538776,0.257865668,0.846530043,0.674236479,40.61219347,0.349146321
1,12,0,16,5,6.29E-07,1.64E-06,0,11481.7285,119.4649385,122.3705554,0.216621853,0.667981326,0.545867692,41.31227766,0.312430188
1,12,0,17,5,7.86E-07,1.63E-06,0,11703.2757,120.2685393,123.8983488,0.240281195,0.616316346,0.497437094,41.7642441,0.336280382
1,12,0,18,5,9.43E-07,1.63E-06,0,11825.7855,120.2335661,125.231733,0.279695861,0.977079684,0.78021733,41.46022207,0.37000468
1,12,0,19,5,1.10E-06,1.63E-06,0,11328.1541,117.5740375,122.6755,0.285378199,0.952904106,0.776768064,41.59454198,0.349912145
1,12,0,20,5,1.26E-06,1.63E-06,0,11745.7819,121.2041427,123.3884723,0.187329498,0.924592368,0.749334481,41.7529013,0.409658871
1,12,0,21,5,1.41E-06,1.63E-06,0,11908.2684,120.9504669,125.3577496,0.262829264,0.755686034,0.602823548,42.80100368,0.334888963
1,12,0,22,5,1.57E-06,1.63E-06,0,11688.3756,119.7048333,124.3233182,0.270033186,0.904616441,0.727632156,43.16828238,0.318389389
1,12,0,23,5,1.73E-06,1.63E-06,0,11546.6029,120.0764867,122.4352238,0.195343852,0.855580538,0.698802609,43.39838815,0.418613175
1,12,0,24,5,1.88E-06,1.63E-06,0,12087.2617,121.960583,126.1881439,0.256674314,1.13945668,0.90298236,44.48430014,0.397990239
1,12,0,25,5,2.04E-06,1.63E-06,0,11527.4374,120.0903364,122.2179043,0.185776587,0.692084305,0.5662708,45.4610665,0.385807981
1,12,0,0,6,-1.96E-06,1.52E-06,0,11189.0027,114.764584,124.134818,0.381144044,0.963017256,0.775783355,45.43917879,0.342981505
1,12,0,1,6,-1.80E-06,1.52E-06,0,11319.4047,118.0667422,122.069208,0.253972258,0.705955105,0.578323655,46.53433223,0.414739691
1,12,0,2,6,-1.64E-06,1.52E-06,0,11526.1029,120.2503519,122.0411401,0.170680902,1.601126187,1.311956104,46.34369724,0.291229114
1,12,0,3,6,-1.49E-06,1.52E-06,0,11232.7566,117.8464508,121.3612276,0.238922184,1.01025554,0.832436817,45.96844311,0.32726924
1,12,0,4,6,-1.33E-06,1.52E-06,0,11645.7616,119.3491746,124.2391856,0.277795106,0.781481643,0.629013817,46.9251988,0.23390537
1,12,0,5,6,-1.18E-06,1.52E-06,0,11628.8069,119.4529247,123.9505593,0.266935901,0.734526407,0.592596283,46.49521759,0.385932344
1,12,0,6,6,-1.02E-06,1.52E-06,0,11534.8285,120.8406533,121.5369123,0.106886634,0.614399255,0.505524818,46.82445758,0.396221993
1,12,0,7,6,-8.60E-07,1.52E-06,0,11479.0625,118.1371497,123.7171916,0.296937891,0.866267337,0.700199645,46.74676983,0.362295183
1,12,0,8,6,-7.03E-07,1.51E-06,0,11675.0992,119.9420144,123.9365386,0.251837252,0.782957579,0.631740718,46.71869712,0.350222309
1,12,0,9,6,-5.48E-07,1.51E-06,0,11325.1049,118.1486035,122.0460588,0.250696624,0.738203417,0.604856416,47.25006702,0.289235141
1,12,0,10,6,-3.90E-07,1.51E-06,0,11586.1817,115.2098298,128.0444974,0.436376826,0.72899263,0.569327574,46.8788714,0.349932069
1,12,0,11,6,-2.35E-07,1.51E-06,0,11960.1943,119.8601794,127.0496381,0.331622388,0.737736283,0.580667757,46.32737918,0.313672079
1,12,0,12,6,-7.76E-08,1.51E-06,0,11897.402,120.1051979,126.1247892,0.305248488,0.84149942,0.667195898,46.47840221,0.370965107
1,12,0,13,6,8.18E-08,1.51E-06,0,11649.0733,118.5807449,125.0798422,0.318149934,0.925617404,0.740021244,47.29248852,0.275974922
1,12,0,14,6,2.34E-07,1.51E-06,0,11433.6352,117.6572405,123.7302226,0.309444353,0.745360789,0.602408024,46.33761725,0.298999229
1,12,0,15,6,3.95E-07,1.51E-06,0,11950.9969,121.6804307,125.0528275,0.23066923,1.129839095,0.903489444,46.02768015,0.329114353
1,12,0,16,6,5.49E-07,1.51E-06,0,11823.2488,120.8688612,124.5467842,0.241223672,0.704157207,0.565375663,45.77776665,0.300698178
1,12,0,17,6,7.07E-07,1.51E-06,0,11389.1407,117.6862633,123.2183263,0.296272122,0.783293292,0.635695449,45.59275562,0.294335142
1,12,0,18,6,8.64E-07,1.51E-06,0,12056.4169,122.047785,125.7762021,0.241677066,0.776208156,0.617134357,46.26448998,0.340193367
1,12,0,19,6,1.02E-06,1.51E-06,0,12044.8399,119.6665323,128.1558534,0.357905439,0.670470377,0.523167971,46.58272464,0.249989516
1,12,0,20,6,1.18E-06,1.50E-06,0,11622.7416,121.1447283,122.1558256,0.128396691,1.013006451,0.829273959,45.64552795,0.330774722
1,12,0,21,6,1.33E-06,1.50E-06,0,11782.4515,118.5331656,126.5627492,0.350516648,0.928716707,0.73379941,47.05723413,0.294380477
1,12,0,22,6,1.49E-06,1.50E-06,0,11472.3907,119.4214621,122.3155481,0.216244776,0.598307279,0.489150634,47.53108868,0.371790775
1,12,0,23,6,1.65E-06,1.50E-06,0,11254.216,117.9539032,121.4823123,0.239260683,0.686236646,0.564886058,47.16952771,0.329953253
1,12,0,24,6,1.80E-06,1.50E-06,0,11598.6978,120.968474,122.0807398,0.134680351,0.995560499,0.815493501,47.99645621,0.265285816
1,12,0,25,6,1.96E-06,1.50E-06,0,11229.3188,117.2862402,121.9035825,0.272615732,0.878475753,0.720631613,48.30414432,0.394141523
