name of the site,location(x_y),area, areaX, perimeter, perimeterX, areaEnclosingCircle, areaFitEllipse, areaMinAreaRectangle, eccentricity, orientation, convexity, 0degDiam, 45degDiam, 90degDiam, 135degDiam
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 264_1346,5.86E-16,7.20E-16,9.19E-08,1.09E-07,6.68E-16,2.38E-15,7.47E-16,0.928175763,87.35481262,0.97509113,5.90E-08,5.73E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 452_1348,6.64E-16,8.08E-16,9.89E-08,1.18E-07,7.60E-16,2.70E-15,8.65E-16,0.930267528,112.2536621,0.965993624,5.73E-08,5.73E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 730_1346,5.63E-16,6.95E-16,9.01E-08,1.08E-07,6.47E-16,2.28E-15,7.23E-16,0.926140212,101.1378174,0.972274732,5.73E-08,5.55E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 824_1346,5.98E-16,7.33E-16,9.21E-08,1.11E-07,6.62E-16,2.44E-15,7.71E-16,0.968090563,108.5364532,0.976162098,5.73E-08,5.55E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1006_1346,5.59E-16,6.89E-16,8.94E-08,1.06E-07,6.40E-16,2.28E-15,7.01E-16,0.928389673,86.83521271,0.972681067,6.07E-08,5.81E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1102_1346,5.85E-16,7.17E-16,9.06E-08,1.08E-07,6.49E-16,2.38E-15,7.23E-16,0.95693172,97.51109314,0.980416157,5.73E-08,5.64E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1286_1346,5.80E-16,7.14E-16,9.19E-08,1.09E-07,6.77E-16,2.35E-15,7.47E-16,0.927215785,93.83892059,0.968902439,5.98E-08,5.64E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1382_1346,5.71E-16,7.05E-16,9.09E-08,1.09E-07,6.44E-16,2.30E-15,7.44E-16,0.943705062,103.8646774,0.975685786,5.64E-08,5.64E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1656_1348,5.75E-16,7.08E-16,9.06E-08,1.08E-07,6.60E-16,2.34E-15,7.23E-16,0.937885628,95.80477142,0.974042027,5.90E-08,5.73E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1936_1348,6.02E-16,7.39E-16,9.41E-08,1.11E-07,6.90E-16,2.45E-15,7.70E-16,0.966082114,86.49759674,0.970017637,5.64E-08,5.55E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2214_1346,6.01E-16,7.35E-16,9.19E-08,1.09E-07,6.95E-16,2.45E-15,7.47E-16,0.92113212,88.66701508,0.980357143,5.98E-08,5.98E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2308_1348,6.06E-16,7.43E-16,9.43E-08,1.13E-07,6.85E-16,2.44E-15,7.71E-16,0.958663421,99.27986908,0.972450176,5.73E-08,5.55E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2492_1348,6.03E-16,7.39E-16,9.36E-08,1.11E-07,6.79E-16,2.45E-15,7.71E-16,0.940222431,104.514122,0.970035253,5.90E-08,5.55E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2864_1346,5.81E-16,7.16E-16,9.26E-08,1.11E-07,6.61E-16,2.36E-15,7.71E-16,0.961991736,84.3703537,0.960748792,5.90E-08,5.64E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3050_1348,6.19E-16,7.55E-16,9.31E-08,1.11E-07,7.09E-16,2.52E-15,7.70E-16,0.935290043,91.44870758,0.982049797,5.90E-08,5.55E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3422_1346,6.10E-16,7.48E-16,9.43E-08,1.13E-07,6.96E-16,2.49E-15,7.79E-16,0.941076122,69.23649597,0.971511628,5.55E-08,5.64E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 356_1350,5.39E-16,6.70E-16,8.94E-08,1.06E-07,6.15E-16,2.19E-15,6.92E-16,0.936733682,99.08448792,0.965990844,5.98E-08,5.64E-08,5.81E-08,5.13E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 546_1348,5.50E-16,6.79E-16,8.87E-08,1.04E-07,6.36E-16,2.26E-15,6.79E-16,0.920732208,105.3514481,0.977302205,5.90E-08,5.55E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 636_1350,5.48E-16,6.78E-16,8.89E-08,1.06E-07,6.24E-16,2.22E-15,7.01E-16,0.948793273,97.9416275,0.974658869,5.81E-08,5.55E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1752_1348,5.69E-16,7.02E-16,9.14E-08,1.09E-07,6.60E-16,2.33E-15,7.46E-16,0.93130775,114.3478088,0.968905473,5.73E-08,5.55E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2400_1348,5.62E-16,6.94E-16,9.01E-08,1.08E-07,6.50E-16,2.30E-15,7.23E-16,0.920086948,99.2257843,0.968533669,5.73E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2586_1350,5.43E-16,6.72E-16,8.89E-08,1.06E-07,6.09E-16,2.20E-15,7.01E-16,0.952789597,69.77846527,0.969341161,5.81E-08,5.47E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2958_1348,5.79E-16,7.13E-16,9.19E-08,1.09E-07,6.62E-16,2.35E-15,7.47E-16,0.928838891,88.44868469,0.967643468,5.81E-08,5.55E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3142_1348,5.76E-16,7.10E-16,9.24E-08,1.09E-07,6.50E-16,2.32E-15,7.45E-16,0.944209457,99.80632782,0.967504598,5.73E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3234_1350,5.68E-16,7.00E-16,9.11E-08,1.08E-07,6.50E-16,2.32E-15,7.23E-16,0.953577404,88.22848511,0.968847352,5.73E-08,5.55E-08,5.81E-08,5.47E-08
